fuel	year	price_per_mmbtu_0000	price_per_mmbtu_0001	price_per_mmbtu_0002	price_per_mmbtu_0003	price_per_mmbtu_0004	price_per_mmbtu_0005	price_per_mmbtu_0006	price_per_mmbtu_0007	price_per_mmbtu_0008	price_per_mmbtu_0009	price_per_mmbtu_0010	price_per_mmbtu_0011	price_per_mmbtu_0012	price_per_mmbtu_0013	price_per_mmbtu_0014	price_per_mmbtu_0015	price_per_mmbtu_0016	price_per_mmbtu_0017	price_per_mmbtu_0018	price_per_mmbtu_0019	price_per_mmbtu_0020	price_per_mmbtu_0021	price_per_mmbtu_0022	price_per_mmbtu_0023	price_per_mmbtu_0024	price_per_mmbtu_0025	price_per_mmbtu_0026	price_per_mmbtu_0027	price_per_mmbtu_0028	price_per_mmbtu_0029	price_per_mmbtu_0030	price_per_mmbtu_0031	price_per_mmbtu_0032	price_per_mmbtu_0033	price_per_mmbtu_0034	price_per_mmbtu_0035	price_per_mmbtu_0036	price_per_mmbtu_0037	price_per_mmbtu_0038	price_per_mmbtu_0039	price_per_mmbtu_0040	price_per_mmbtu_0041	price_per_mmbtu_0042	price_per_mmbtu_0043	price_per_mmbtu_0044	price_per_mmbtu_0045	price_per_mmbtu_0046	price_per_mmbtu_0047	price_per_mmbtu_0048	price_per_mmbtu_0049	price_per_mmbtu_0050	price_per_mmbtu_0051	price_per_mmbtu_0052	price_per_mmbtu_0053	price_per_mmbtu_0054	price_per_mmbtu_0055	price_per_mmbtu_0056	price_per_mmbtu_0057	price_per_mmbtu_0058	price_per_mmbtu_0059	price_per_mmbtu_0060	price_per_mmbtu_0061	price_per_mmbtu_0062	price_per_mmbtu_0063	price_per_mmbtu_0064	price_per_mmbtu_0065	price_per_mmbtu_0066	price_per_mmbtu_0067	price_per_mmbtu_0068	price_per_mmbtu_0069	price_per_mmbtu_0070	price_per_mmbtu_0071	price_per_mmbtu_0072	price_per_mmbtu_0073	price_per_mmbtu_0074	price_per_mmbtu_0075	price_per_mmbtu_0076	price_per_mmbtu_0077	price_per_mmbtu_0078	price_per_mmbtu_0079	price_per_mmbtu_0080	price_per_mmbtu_0081	price_per_mmbtu_0082	price_per_mmbtu_0083	price_per_mmbtu_0084	price_per_mmbtu_0085	price_per_mmbtu_0086	price_per_mmbtu_0087	price_per_mmbtu_0088	price_per_mmbtu_0089	price_per_mmbtu_0090	price_per_mmbtu_0091	price_per_mmbtu_0092	price_per_mmbtu_0093	price_per_mmbtu_0094	price_per_mmbtu_0095	price_per_mmbtu_0096	price_per_mmbtu_0097	price_per_mmbtu_0098	price_per_mmbtu_0099	price_per_mmbtu_0100	price_per_mmbtu_0101	price_per_mmbtu_0102	price_per_mmbtu_0103	price_per_mmbtu_0104	price_per_mmbtu_0105	price_per_mmbtu_0106	price_per_mmbtu_0107	price_per_mmbtu_0108	price_per_mmbtu_0109	price_per_mmbtu_0110	price_per_mmbtu_0111	price_per_mmbtu_0112	price_per_mmbtu_0113	price_per_mmbtu_0114	price_per_mmbtu_0115	price_per_mmbtu_0116	price_per_mmbtu_0117	price_per_mmbtu_0118	price_per_mmbtu_0119	price_per_mmbtu_0120	price_per_mmbtu_0121	price_per_mmbtu_0122	price_per_mmbtu_0123	price_per_mmbtu_0124
weight		0.259959	0.000335	2e-05	1e-06	3e-06	2e-06	0.003412	3.3e-05	1e-06	7e-06	9e-06	0.000186	3e-06	7e-06	2e-06	1e-06	0.023315	0.001747	8e-06	4.1e-05	1.5e-05	9.8e-05	2.7e-05	0.000722	2e-06	0.068813	0.007623	1e-06	3e-06	0.000261	0.007261	0.003284	7e-06	0.000338	1e-06	4.3e-05	7e-06	0.000443	0.007159	8.5e-05	2e-06	0.001879	6e-06	0.00013	3e-06	7e-06	0.021348	3.3e-05	0.000205	1.5e-05	8.1e-05	0.000967	2.3e-05	3e-06	0.003312	1e-06	1e-06	0.001588	0.001829	1e-06	0.050806	0.124438	0.03333	0.001662	0.014226	0.001584	0.000167	3e-06	0.001187	0.132428	0.000406	6e-06	4.8e-05	2e-06	1.7e-05	2.6e-05	2e-06	0.016548	0.039798	1.6e-05	0.014973	1e-06	6e-06	2e-06	5.6e-05	1e-06	0.004515	0.00071	1e-05	3.5e-05	1e-06	5.7e-05	7e-06	0.000475	2.2e-05	1.2e-05	0.000329	0.000154	0.000113	3.2e-05	0.008193	0.005509	0.052862	5e-06	4.8e-05	0.002555	0.000463	0.001246	0.006037	0.015544	5e-06	0.006029	0.030144	6e-06	6e-06	0.000135	0.000976	0.003782	0.000649	0.000271	0.000291	0.01029	6e-06	1.7e-05	1e-06
Biodiesel	2021.0	28.8832221277	37.211471664	40.2123753249	38.8207442295	35.7501127048	40.3333098022	48.2251998349	38.6946045039	27.6261610963	38.7736510148	34.1705867523	36.9785644564	47.0733534286	34.3025213653	46.6951188524	33.5954259108	36.20436256	35.9268529204	38.7195376746	35.0720282046	37.6015622577	35.0690072652	54.6069196843	35.9674205596	34.698819518	35.3690349603	35.2480026411	30.8992342839	49.5791565386	36.5623018177	44.9159134889	37.4501354821	45.4855181806	44.7374307256	38.1917339521	39.739603585	49.0832341709	36.3198743197	40.1087664342	37.4362965862	39.0054988338	44.0275638215	35.3176754343	51.4301173886	33.2915815059	35.8817672442	40.7938578749	33.9213697618	37.1855667232	39.8741673022	37.0263330649	48.7954678226	34.7562817783	34.2872592904	34.7609045173	33.493010838	36.7914932252	59.4221286009	42.2957692316	34.9981184304	43.8774379561	31.1117692222	33.52637528	50.8488960865	49.6306200555	36.2998900615	37.1207425878	40.0421752616	35.8441244149	38.1230948598	36.0292476932	37.785920186	37.9673261684	38.2692502847	38.2478260309	34.8018855787	30.8386352194	32.9556404032	39.4545894869	55.9436306521	40.5214306388	33.4195360983	43.1198011624	38.4659682018	36.7603004921	82.0262824875	43.1315476725	36.1913004372	60.4020427034	36.4284962315	27.3536182686	36.7643165265	38.3338539564	37.3426206919	37.712618656	34.5291846743	51.2173406418	36.2895436585	36.1886333904	37.9666388318	34.9486419706	34.954976925	33.9005591868	42.6219413084	37.2535371721	35.6487844815	56.8608119158	52.9999139755	46.9025526664	39.2759777123	33.3075939442	51.1994819101	40.336994867	42.3879353622	32.9363033075	38.9840564162	43.2442954857	46.6532398528	36.185348301	59.662947742	37.6492944764	41.2660886873	37.5530381878	37.9107459708	29.4426378367
Biodiesel	2029.0	25.5391210091	42.6906118119	40.4732087525	35.002187839	40.7150519617	61.2528466488	97.1810369031	51.7963922804	47.1854411243	55.6548260812	38.8474553344	44.2025930126	72.1518015002	43.1125694998	71.3896014744	24.5220126775	40.9853444992	41.1484424619	34.3291187929	41.299566613	50.4755591208	42.9837233486	184.575239954	42.0907797668	41.608092226	38.8139337119	38.4146549553	29.867277841	55.3900387167	44.5752394972	77.2604557669	38.5452795923	62.0495821805	84.811581804	33.4740381384	51.293566915	51.2518725093	43.2976902744	54.8323468605	50.2003771407	34.1969130735	77.1681543511	37.5955123147	144.370585448	40.5009044343	36.1040637345	55.7165905653	40.054103472	45.708425067	47.2420980439	45.6689413668	103.762451504	44.1127932383	51.2244276755	37.9131693121	99.482535441	70.4216006532	186.272469641	62.5205158501	36.1702063581	56.4243394972	30.8963816268	32.0149933682	118.095577577	94.7651030501	42.6983428819	47.4107508554	37.7952625022	41.2931626361	35.6891438819	45.355917918	33.3677932543	44.8995282336	47.1270660768	51.292209166	41.5182750061	43.3974767481	32.1893740406	48.2761393833	203.088661193	56.9087735582	51.3950655847	36.432199539	48.4809762955	42.3538509663	72.4958716751	68.1374112444	43.4426002066	276.767718554	48.1254331474	24.5585230581	49.8863441862	52.0660325403	47.7801840936	42.9211879223	38.1186779273	121.615508122	42.5232954394	39.5558566716	46.4959099103	37.316301968	37.8889941415	34.6552642765	62.3157245046	45.2825081887	39.9841789066	175.234984311	134.784685319	85.7136529382	50.9140991301	48.9363081178	107.704072537	53.606680186	51.6053826983	43.5421794788	45.9164976944	70.2056818313	87.9033791137	42.7300741705	195.688038018	46.7579614442	59.2838640682	32.2622030827	46.8799745962	32.5959860682
Biodiesel	2037.0	24.2952040607	54.7941957418	57.2792288996	33.4724258243	44.0191822477	70.2696198108	197.636239984	62.7141060745	54.643860759	57.3787610811	59.43312312	58.4120473933	168.853497439	69.5509027721	72.6353017555	26.2277397915	51.8896123999	41.2899245365	37.2484634762	52.8127549604	52.6907211155	53.9432716548	537.687324399	49.1809847094	59.3050020539	49.4735085471	37.909567593	27.9652904129	108.626352172	56.8870443343	133.582369559	40.3339641882	87.8507121683	163.941810282	45.2597618494	57.6237082032	59.0993284121	56.0885872218	82.5110497929	58.9666671771	33.2134959334	144.686283479	43.6039735205	476.207621937	39.5243161139	54.611908691	79.4097634253	57.4036586975	58.9389558575	55.5152782019	53.3212085647	241.618606278	53.8066370169	43.6108996091	40.5442651379	141.560667951	44.535039419	161.591209354	94.1714122686	50.2489839103	40.6272862853	33.5460949337	30.4360220223	262.908049305	67.8246547897	49.5320035456	52.7094940832	38.0330522732	47.9596396019	30.6721251537	56.2392136019	38.9104925982	57.4780924973	54.8985283806	62.928776538	55.058614582	37.2441431962	32.0258110135	56.8840628573	1177.98176338	98.8774121315	59.1425303947	33.4500934772	56.899286452	57.1369637279	91.4704963545	116.456455678	53.0501824372	1029.1307416	52.1759863397	24.8502667613	55.23709512	72.133033188	51.1060330147	47.3576739365	51.7523046985	301.829673886	54.2519966126	47.7613882452	55.3720385587	39.4883160651	40.1895426723	40.1815145976	101.358855252	50.6319712977	44.5602469212	486.706116	327.766619522	144.98137603	72.3150425574	48.61389538	96.6852007385	68.0251129423	67.6454410126	50.5765375959	56.5056961424	91.8716852672	206.862098626	52.6119609464	605.307023436	51.9261348052	117.10006031	42.728509888	52.2830128198	25.6692516249
Biodiesel	2045.0	23.9838598397	64.9769166716	71.0750208967	57.5318575847	48.4833464623	76.0047698198	265.111771249	89.5761553579	67.9225466686	70.267979101	68.2192986445	79.5956199683	305.208173891	74.9637039264	182.652737859	29.0668896843	104.649693071	43.2553465759	41.6904231227	50.4572697019	64.9877910701	77.5734378941	2177.29962004	52.2975045752	84.8959408756	42.9568439749	39.4184527117	21.1524552898	250.825564883	82.1621167158	192.234560796	41.7919251493	89.3389429882	273.585198117	45.8257149916	68.4642923736	58.6296622828	70.249115041	215.701128753	54.9620014927	39.4777029715	459.591386871	58.8783389428	1375.12868788	73.5847641577	52.6953976256	95.4667556849	53.9860971446	64.1596158641	56.3264167198	57.729714	669.300381758	55.3253754531	40.5673992652	41.2152219001	245.75482119	33.3866868291	139.549553036	123.437515881	64.337557658	37.3729199973	38.9271508507	30.2283934101	406.858300295	59.0292688882	52.3209028884	58.8087443557	40.9246835453	57.7841473075	27.678826589	64.9892400244	33.8476909628	70.2205072723	61.0380892215	93.2741968393	73.0005967548	48.8548508157	32.9808033042	72.2770024652	1909.37331691	65.4105429848	143.208605151	28.7642792683	78.5774318324	69.8482151383	124.659783399	310.211939199	57.376444828	4153.55068168	53.0774775455	21.8392325378	62.3678642623	136.392415932	56.1378163606	58.2491611097	92.0027074752	971.983537761	57.4003070166	60.9538117358	78.26497794	39.5136437599	44.6631466787	63.8340610062	205.89184619	65.4588759921	50.9244315701	398.235451565	228.082787715	84.0284024156	148.744433402	71.8110847276	120.216639708	48.455412835	143.829007302	68.0527544606	69.6397325126	112.290341415	144.755610526	68.8927672003	736.119661444	56.9867540641	123.971832095	38.3151105093	59.6209071987	34.387803098
Diesel	2021.0	12.3632221277	20.691471664	23.6923753249	22.3007442295	19.2301127048	23.8133098022	31.7051998349	22.1746045039	11.1061610963	22.2536510148	17.6505867523	20.4585644564	30.5533534286	17.7825213653	30.1751188524	17.0754259108	19.68436256	19.4068529204	22.1995376746	18.5520282046	21.0815622577	18.5490072652	38.0869196843	19.4474205596	18.178819518	18.8490349603	18.7280026411	14.3792342839	33.0591565386	20.0423018177	28.3959134889	20.9301354821	28.9655181806	28.2174307256	21.6717339521	23.219603585	32.5632341709	19.7998743197	23.5887664342	20.9162965862	22.4854988338	27.5075638215	18.7976754343	34.9101173886	16.7715815059	19.3617672442	24.2738578749	17.4013697618	20.6655667232	23.3541673022	20.5063330649	32.2754678226	18.2362817783	17.7672592904	18.2409045173	16.973010838	20.2714932252	42.9021286009	25.7757692316	18.4781184304	27.3574379561	14.5917692222	17.00637528	34.3288960865	33.1106200555	19.7798900615	20.6007425878	23.5221752616	19.3241244149	21.6030948598	19.5092476932	21.265920186	21.4473261684	21.7492502847	21.7278260309	18.2818855787	14.3186352194	16.4356404032	22.9345894869	39.4236306521	24.0014306388	16.8995360983	26.5998011624	21.9459682018	20.2403004921	65.5062824875	26.6115476725	19.6713004372	43.8820427034	19.9084962315	10.8336182686	20.2443165265	21.8138539564	20.8226206919	21.192618656	18.0091846743	34.6973406418	19.7695436585	19.6686333904	21.4466388318	18.4286419706	18.434976925	17.3805591868	26.1019413084	20.7335371721	19.1287844815	40.3408119158	36.4799139755	30.3825526664	22.7559777123	16.7875939442	34.6794819101	23.816994867	25.8679353622	16.4163033075	22.4640564162	26.7242954857	30.1332398528	19.665348301	43.142947742	21.1292944764	24.7460886873	21.0330381878	21.3907459708	12.9226378367
Diesel	2029.0	9.01912100912	26.1706118119	23.9532087525	18.482187839	24.1950519617	44.7328466488	80.6610369031	35.2763922804	30.6654411243	39.1348260812	22.3274553344	27.6825930126	55.6318015002	26.5925694998	54.8696014744	8.00201267749	24.4653444992	24.6284424619	17.8091187929	24.779566613	33.9555591208	26.4637233486	168.055239954	25.5707797668	25.088092226	22.2939337119	21.8946549553	13.347277841	38.8700387167	28.0552394972	60.7404557669	22.0252795923	45.5295821805	68.291581804	16.9540381384	34.773566915	34.7318725093	26.7776902744	38.3123468605	33.6803771407	17.6769130735	60.6481543511	21.0755123147	127.850585448	23.9809044343	19.5840637345	39.1965905653	23.534103472	29.188425067	30.7220980439	29.1489413668	87.2424515042	27.5927932383	34.7044276755	21.3931693121	82.962535441	53.9016006532	169.752469641	46.0005158501	19.6502063581	39.9043394972	14.3763816268	15.4949933682	101.575577577	78.2451030501	26.1783428819	30.8907508554	21.2752625022	24.7731626361	19.1691438819	28.835917918	16.8477932543	28.3795282336	30.6070660768	34.772209166	24.9982750061	26.8774767481	15.6693740406	31.7561393833	186.568661193	40.3887735582	34.8750655847	19.912199539	31.9609762955	25.8338509663	55.9758716751	51.6174112444	26.9226002066	260.247718554	31.6054331474	8.03852305815	33.3663441862	35.5460325403	31.2601840936	26.4011879223	21.5986779273	105.095508122	26.0032954394	23.0358566716	29.9759099103	20.796301968	21.3689941415	18.1352642765	45.7957245046	28.7625081887	23.4641789066	158.714984311	118.264685319	69.1936529382	34.3940991301	32.4163081178	91.1840725366	37.086680186	35.0853826983	27.0221794788	29.3964976944	53.6856818313	71.3833791137	26.2100741705	179.168038018	30.2379614442	42.7638640682	15.7422030827	30.3599745962	16.0759860682
Diesel	2037.0	7.77520406068	38.2741957418	40.7592288996	16.9524258243	27.4991822477	53.7496198108	181.116239984	46.1941060745	38.123860759	40.8587610811	42.91312312	41.8920473933	152.333497439	53.0309027721	56.1153017555	9.70773979145	35.3696123999	24.7699245365	20.7284634762	36.2927549604	36.1707211155	37.4232716548	521.167324399	32.6609847094	42.7850020539	32.9535085471	21.389567593	11.4452904129	92.106352172	40.3670443343	117.062369559	23.8139641882	71.3307121683	147.421810282	28.7397618494	41.1037082032	42.5793284121	39.5685872218	65.9910497929	42.4466671771	16.6934959334	128.166283479	27.0839735205	459.687621937	23.0043161139	38.091908691	62.8897634253	40.8836586975	42.4189558575	38.9952782019	36.8012085647	225.098606278	37.2866370169	27.0908996091	24.0242651379	125.040667951	28.015039419	145.071209354	77.6514122686	33.7289839103	24.1072862853	17.0260949337	13.9160220223	246.388049305	51.3046547897	33.0120035456	36.1894940832	21.5130522732	31.4396396019	14.1521251537	39.7192136019	22.3904925982	40.9580924973	38.3785283806	46.408776538	38.538614582	20.7241431962	15.5058110135	40.3640628573	1161.46176338	82.3574121315	42.6225303947	16.9300934772	40.379286452	40.6169637279	74.9504963545	99.936455678	36.5301824372	1012.6107416	35.6559863397	8.33026676134	38.71709512	55.613033188	34.5860330147	30.8376739365	35.2323046985	285.309673886	37.7319966126	31.2413882452	38.8520385587	22.9683160651	23.6695426723	23.6615145976	84.8388552523	34.1119712977	28.0402469212	470.186116	311.246619522	128.46137603	55.7950425574	32.09389538	80.1652007385	51.5051129423	51.1254410126	34.0565375959	39.9856961424	75.3516852672	190.342098626	36.0919609464	588.787023436	35.4061348052	100.58006031	26.208509888	35.7630128198	9.14925162493
Diesel	2045.0	7.46385983972	48.4569166716	54.5550208967	41.0118575847	31.9633464623	59.4847698198	248.591771249	73.0561553579	51.4025466686	53.747979101	51.6992986445	63.0756199683	288.688173891	58.4437039264	166.132737859	12.5468896843	88.1296930714	26.7353465759	25.1704231227	33.9372697019	48.4677910701	61.0534378941	2160.77962004	35.7775045752	68.3759408756	26.4368439749	22.8984527117	4.63245528978	234.305564883	65.6421167158	175.714560796	25.2719251493	72.8189429882	257.065198117	29.3057149916	51.9442923736	42.1096622828	53.729115041	199.181128753	38.4420014927	22.9577029715	443.071386871	42.3583389428	1358.60868788	57.0647641577	36.1753976256	78.9467556849	37.4660971446	47.6396158641	39.8064167198	41.209714	652.780381758	38.8053754531	24.0473992652	24.6952219001	229.23482119	16.8666868291	123.029553036	106.917515881	47.817557658	20.8529199973	22.4071508507	13.7083934101	390.338300295	42.5092688882	35.8009028884	42.2887443557	24.4046835453	41.2641473075	11.158826589	48.4692400244	17.3276909628	53.7005072723	44.5180892215	76.7541968393	56.4805967548	32.3348508157	16.4608033042	55.7570024652	1892.85331691	48.8905429848	126.688605151	12.2442792683	62.0574318324	53.3282151383	108.139783399	293.691939199	40.856444828	4137.03068168	36.5574775455	5.31923253776	45.8478642623	119.872415932	39.6178163606	41.7291611097	75.4827074752	955.463537761	40.8803070166	44.4338117358	61.74497794	22.9936437599	28.1431466787	47.3140610062	189.37184619	48.9388759921	34.4044315701	381.715451565	211.562787715	67.5084024156	132.224433402	55.2910847276	103.696639708	31.935412835	127.309007302	51.5327544606	53.1197325126	95.7703414151	128.235610526	52.3727672003	719.599661444	40.4667540641	107.451832095	21.7951105093	43.1009071987	17.867803098
LNG	2021.0	9.27436728086	31.2515563106	29.8990807947	249.25315208	94.1913593187	46.7211699604	12.0035869447	35.1556542009	26.3895259906	18.8926762001	54.733965286	28.3756039413	57.8030703908	33.2824357655	87.7345256818	13.0760390306	10.7742701786	41.7919276381	70.011489816	43.5676650834	30.17951906	27.4802389445	13.7278642778	25.2063402042	33.977093056	9.89043443396	26.4988187558	23.8979381934	42.8207286516	26.130956748	11.408868245	103.264840677	183.503371392	23.4466099497	40.0856920331	98.8172196492	126.964343524	26.2908705729	11.2944998574	58.2084709454	75.3827547665	12.0579630845	75.2990164679	12.6329041745	140.508926389	42.7755277805	11.0001506193	31.7658443955	29.132606422	43.965768032	37.5546551559	12.6092128664	36.8117589449	20.2679735202	22.6983219807	45.7215349534	29.1592561217	12.2925488628	20.7009030909	66.5542069975	10.6044626449	9.25156768078	27.2500354995	12.6744826738	11.5576129697	25.2406782951	68.3528756262	27.9476543844	20.5409772102	9.72945335798	32.2811696732	41.7777749015	38.8914514679	28.237764878	83.7427797612	59.8494531145	53.3200732846	13.6529445745	10.7787697692	16.8878305877	11.0008328975	70.4312347402	65.1184866806	340.589977104	30.9407784039	13.5866667507	11.7338317849	25.7293588621	12.7686912573	88.4216908986	134.250485924	28.9533382724	23.0721968364	51.0372589671	36.5678543752	23.1963317609	12.2207602471	32.7182777499	34.1394177672	54.5802785171	17.5179387233	16.9582420228	10.1530123984	21.4801856223	29.6206750175	19.6336730826	13.2211641041	12.6084825031	11.8412043895	11.0389767904	46.7413197832	11.8038299081	11.0462836283	79.2572900724	71.7159355993	31.892938509	33.5158040674	12.0324563198	22.5657074351	14.3590557719	47.1526354877	11.2545406317	34.1723485328	43.3184896422	33.4377391124
LNG	2029.0	7.62491665187	123.25564666	100.961277306	1621.34799849	1063.57531929	1427.97170285	12.3982212108	208.145776948	6912.46657059	62.4204741396	3583.09142887	133.269379908	844.153631022	376.879369315	3614.03654168	109.407992477	9.50019104908	279.361366698	1763.96561838	378.017137513	326.876887352	122.203641272	13.3477036938	75.00770517	467.72879544	8.23757769431	106.822926822	5331.78527508	258.912546159	88.05979262	10.7678583452	32.2110766133	5096.62520376	56.489623637	2187.97357236	2084.04635096	2993.25043164	88.1687751051	10.6006775718	772.307381103	913.254001884	12.8125754654	481.538198188	16.8933570928	8267.88975418	933.045092099	9.8727069714	259.552168571	151.174097318	403.659682363	253.169396969	13.9927390261	344.059159731	136.082662467	54.5519271601	999.991852884	139.81956479	13.128891801	41.3924110083	7592.48859636	8.98152442812	7.69553635665	28.6584765215	13.3261743318	10.9554339378	79.1801085891	1069.87683958	175.353325747	49.5532616642	7.79291008857	136.107709142	260.123795721	291.661484662	1634.47499821	3180.66500122	905.752883901	2761.81345955	17.4699639295	9.34312281008	17.0699864061	9.99039290559	8468.34137008	1225.84341966	3874.79884473	297.193530128	62.2391820831	11.2368251126	83.2555360231	27.81704593	1454.56010122	9513.20709368	348.78164762	141.831346181	558.09793078	213.4451526	121.437342179	19.1096359116	218.604761285	155.479184592	1119.41484921	30.8453051453	25.1817432589	8.56764551956	94.5083212355	156.797436829	38.8557752783	14.6679156547	14.0274476009	11.0400706597	9.93864363891	1128.21490099	11.3844580986	9.80463588466	776.318621962	649.390599332	161.757767249	172.510403104	11.5622634377	59.4308871699	15.0632061271	421.296169657	10.221141295	181.600443147	283.280283584	580.93505616
LNG	2037.0	7.01481430171	486.789776496	913.279646383	2975.81767574	11966.1547904	8702.47655492	11.4825439245	449.579704182	44821.1070461	675.256613455	4517.94722749	385.011139949	20372.921038	5902.69454382	12511.2034833	4900.32865214	8.44347708936	74.8442012862	7304.99929349	4355.46023599	898.972282751	377.249408061	16.1726139957	283.466070431	2711.91998021	7.52616320652	29.8012324524	19264.7150341	6580.72381306	180.953995657	9.41443222009	18.1554336346	657.127459206	125.197479783	32367.5005676	310.204106506	2799.17468322	210.764791314	9.41780371192	842.720731181	13115.9707892	11.6423475642	9786.84741565	12.6502338891	6012.86922839	6385.44895158	8.75725756005	1534.96517344	1046.86936422	6395.63812008	2116.75522906	15.4740519178	1714.84928307	1207.59460955	158.322462533	12709.3614044	685.794444529	10.5319527108	88.8282427054	18548.5375204	7.57423652889	7.12319289605	13.081338203	13.1441487794	8.79691824107	283.512591597	207.57925115	5864.07640398	89.7063818558	7.06001758728	727.649461987	12248.9774832	1830.60750931	18860.8032199	1007.52612573	3481.28568381	14045.0303033	26.827830816	8.11595387923	43.2148391538	9.01535064362	1897.49959068	8659.49804066	1250.19198609	1656.24312638	1544.20822131	10.4165618737	487.491271086	145.822560357	1690.28449063	1455.88119965	2934.25133884	5097.45394963	85.0027665524	610.68417673	1043.15932996	21.3449376172	1504.67634582	690.083374572	579.720419037	75.4931214638	38.2650030903	7.61211286303	1105.38026746	460.935068307	67.5689217967	18.5123904557	12.9003349706	9.57546144273	8.69719558798	16852.1604274	9.09119458719	8.50620514295	2851.42687156	3135.86956861	979.772842763	55.1331199539	10.9424022145	113.009921531	21.9364563757	375.46712529	8.97392366699	3023.97487704	3639.07909497	576.699413097
LNG	2045.0	6.66376814213	586.215893369	10566.883356	94095.5833443	22406.8689441	34352.7137377	9.84514758739	6151.24782697	15971.8229223	21641.4996949	305.320334616	2479.87482439	1475.72966458	7283.56778723	2229.05247068	50391.3153672	8.2388459602	40.3385406745	12550.4669507	676.328225958	13593.6262518	3584.92351654	30.4740432291	294.98571439	36786.1509165	6.90436321757	17.7279308154	61630.3490131	21747.4443801	1672.2890792	8.59451842397	13.3525237915	358.111611248	209.303589401	7694.60390477	142.432724085	4530.86993984	1067.57869995	9.3582867609	287.117129624	37341.3025062	11.6317114291	4754.27092222	12.4257062339	15257.091501	4796.60573431	8.08024496167	3836.03204129	229.862955175	1736.17217234	344.211327856	13.4653520453	6155.18802618	42061.6342423	55.5601186048	52812.6657381	33806.2289841	8.91996178683	60.1156545174	35110.2044776	6.99387382525	6.78513106633	8.90350652913	11.0553699228	7.88123632551	63.1021358206	89.1825670991	31533.4449279	431.130285509	6.64967814038	145.983403821	861.424712912	1430.92173798	29509.3164498	687.222058172	2003.8729874	9696.80729704	35.0976193866	7.62889999963	22.0403439603	7.82188600108	8067.29921253	557.907888504	7127.19171827	2690.72816774	78390.6927487	10.0435777021	98.4642984649	561.924673158	333.771082374	134.215790422	408.729411159	15421.9357933	54.4534398848	8018.84600687	16869.6932587	22.5958637955	282.983367977	1474.34222425	1338.37808049	23.5254856559	112.384265876	7.28626168489	28294.1734011	4779.42872765	231.717294353	12.9835547387	10.9461058333	8.1983317197	8.47091612799	5864.58695826	8.24591618379	7.44202041356	18880.2137696	7791.9189949	877.696156682	29.7081333117	9.38665256591	706.78484952	16.4898092309	122.392284763	8.2102566326	10356.7644886	4524.51755913	35798.9831532
